time(s),ankle_angle(deg),ankle_velocity(deg/s)
0.244000,3.431228,9.467397
0.244500,3.435945,9.434712
0.245000,3.440646,9.402124
0.245500,3.445331,9.369634
0.246000,3.450000,9.337240
0.246500,3.454652,9.304942
0.247000,3.459288,9.272740
0.247500,3.463909,9.240632
0.248000,3.468513,9.208620
0.248500,3.473101,9.176701
0.249000,3.477674,9.144875
0.249500,3.482230,9.113143
0.250000,3.486771,9.081503
0.250500,3.491296,9.049955
0.251000,3.495805,9.018498
0.251500,3.500299,8.987132
0.252000,3.504777,8.955857
0.252500,3.509239,8.924672
0.253000,3.513686,8.893576
0.253500,3.518117,8.862570
0.254000,3.522533,8.831652
0.254500,3.526934,8.800822
0.255000,3.531319,8.770079
0.255500,3.535688,8.739424
0.256000,3.540043,8.708855
0.256500,3.544382,8.678373
0.257000,3.548706,8.647976
0.257500,3.553015,8.617665
0.258000,3.557308,8.587439
0.258500,3.561587,8.557297
0.259000,3.565851,8.527238
0.259500,3.570099,8.497264
0.260000,3.574333,8.467372
0.260500,3.578552,8.437563
0.261000,3.582756,8.407837
0.261500,3.586945,8.378191
0.262000,3.591119,8.348628
0.262500,3.595279,8.319145
0.263000,3.599424,8.289742
0.263500,3.603554,8.260420
0.264000,3.607669,8.231177
0.264500,3.611770,8.202014
0.265000,3.615857,8.172929
0.265500,3.619929,8.143922
0.266000,3.623986,8.114994
0.266500,3.628029,8.086143
0.267000,3.632058,8.057369
0.267500,3.636072,8.028672
0.268000,3.640072,8.000051
0.268500,3.644058,7.971506
0.269000,3.648030,7.943037
0.269500,3.651987,7.914643
0.270000,3.655930,7.886323
0.270500,3.659859,7.858078
0.271000,3.663774,7.829907
0.271500,3.667675,7.801810
0.272000,3.671562,7.773785
0.272500,3.675435,7.745834
0.273000,3.679294,7.717955
0.273500,3.683139,7.690148
0.274000,3.686970,7.662413
0.274500,3.690788,7.634749
0.275000,3.694591,7.607156
0.275500,3.698381,7.579633
0.276000,3.702157,7.552181
0.276500,3.705919,7.524799
0.277000,3.709668,7.497486
0.277500,3.713403,7.470242
0.278000,3.717125,7.443068
0.278500,3.720833,7.415961
0.279000,3.724527,7.388923
0.279500,3.728208,7.361952
0.280000,3.731876,7.335049
0.280500,3.735530,7.308213
0.281000,3.739171,7.281444
0.281500,3.742798,7.254741
0.282000,3.746412,7.228104
0.282500,3.750013,7.201533
0.283000,3.753600,7.175027
0.283500,3.757175,7.148586
0.284000,3.760736,7.122210
0.284500,3.764284,7.095898
0.285000,3.767819,7.069651
0.285500,3.771340,7.043467
0.286000,3.774849,7.017346
0.286500,3.778345,6.991289
0.287000,3.781827,6.965294
0.287500,3.785297,6.939362
0.288000,3.788754,6.913492
0.288500,3.792197,6.887684
0.289000,3.795628,6.861938
0.289500,3.799047,6.836252
0.290000,3.802452,6.810628
0.290500,3.805844,6.785064
0.291000,3.809224,6.759560
0.291500,3.812591,6.734117
0.292000,3.815946,6.708733
0.292500,3.819287,6.683409
0.293000,3.822616,6.658143
0.293500,3.825933,6.632937
0.294000,3.829237,6.607789
0.294500,3.832528,6.582699
0.295000,3.835807,6.557668
0.295500,3.839073,6.532694
0.296000,3.842327,6.507777
0.296500,3.845569,6.482918
0.297000,3.848798,6.458115
0.297500,3.852014,6.433369
0.298000,3.855219,6.408679
0.298500,3.858411,6.384045
0.299000,3.861590,6.359467
0.299500,3.864758,6.334945
0.300000,3.867913,6.310477
0.300500,3.871056,6.286065
0.301000,3.874187,6.261707
0.301500,3.877306,6.237403
0.302000,3.880412,6.213154
0.302500,3.883507,6.188959
0.303000,3.886589,6.164817
0.303500,3.889660,6.140728
0.304000,3.892718,6.116693
0.304500,3.895764,6.092710
0.305000,3.898799,6.068780
0.305500,3.901821,6.044903
0.306000,3.904832,6.021077
0.306500,3.907830,5.997303
0.307000,3.910817,5.973581
